"CODOM"|"UASG"|"NOMEOM"|"SIGLAOM"|"INDICATIVOOM"|"UF"|"AREAOM"|"COD_OM_COMIMSUP"|"SITUACAO"
"1112"|"782314"|DELEGACIA DA CAPITANIA DOS PORTOS EM PORTO SEGURO|DELPSEGURO|DLSEGU|BA|SEGUNDO DN|643.0|1
"1124"|"710300"|AMAZÔNIA AZUL TECNOLOGIAS DE DEFESA S.A - AMAZUL|AMAZUL|AMAZUL|SP|OITAVO DN|299.0|1
"1151"|"751210"|NAVIO DE PESQUISA HIDROCEANOGRÁFICO VITAL DE OLIVEIRA|NPQHO VITAL DE OLIVEIRA|NPQHVO|RJ|PRIMEIRO DN|269.0|1
"1127"|"740005"|DIRETORIA DE GESTÃO DE PROGRAMAS DA MARINHA|DGEPM|DGEPEM|RJ|PRIMEIRO DN|506.0|1
"1163"|"785121"|POLICLÍNICA NAVAL DE RIO GRANDE|PNRG|PCLNRG|RS|QUINTO DN|760.0|1
"1209"|"788321"|AGÊNCIA FLUVIAL DE CARACARAÍ|AGCARACARAÍ|AGCRAI|RR|NONO DN|725.0|1
"1123"|"788513"|AVISO HIDROCEANOGRÁFICO FLUVIAL RIO NEGRO|AVHOFLURIONEGRO|AVHONE|AM|NONO DN|1242.0|1
"1125"|"772100"|CENTRO DE INSTRUÇÃO E ADESTRAMENTO ALMIRANTE NEWTON BRAGA|CIANB|CIANBR|RJ|PRIMEIRO DN|624.0|1
"1133"|"701057"|ADIDÂNCIA DE DEFESA NAVAL, EXÉRCITO E AERONÁUTICA NO LÍBANO|ADIDEFNAVEXAERLÍBANO|ADFLBN||EXTERIOR|836.0|1
"1134"|"701059"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICO NO SENEGAL, EM BENIN E NO TOGO|ADIDEFNAVEXAERSENEGALBENINTOGO|ADFSBT||EXTERIOR|836.0|1
"1135"|"701060"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICO NA CORÉIA DO SUL|ADIDEFNAVEXAERCORÉIA|ADFCSL||EXTERIOR|836.0|1
"1140"|"786112"|NAVIO DE TRANSPORTE FLUVIAL ALMIRANTE LEVERGER|NTRFLU ALMIRANTE LEVERGER|NTFLEV|MS|SEXTO DN|792.0|1
"1162"|"791670"|NAVIO DOCA MULTIPROPÓSITO BAHIA|NDMBAHIA|NDMPBA|RJ|PRIMEIRO DN|198.0|1
"1164"|"711501"|CENTRO DE CONTROLE INTERNO DA MARINHA - BSB|CCIMAR-BSB|CCINTM|DF|SÉTIMO DN|298.0|1
"1167"|"720303"|DIRETORIA-GERAL DE DESENVOLVIMENTO NUCLEAR E TECNOLÓGICO DA MARINHA-BSB|DGDNTM-BSB|DRGNUC|DF|SÉTIMO DN|1168.0|1
"1114"|"781362"|AGÊNCIA DA CAPITANIA DOS PORTOS EM SÃO JOÃO DA BARRA|AGSJBARRA|AGSJBA|RJ|PRIMEIRO DN|1229.0|1
"1110"|"781153"|NAVIO PATRULHA OCEÂNICO APA|NPAOCAPA|NPOCAP|RJ|PRIMEIRO DN|1020.0|1
"1139"|"786511"|AVISO HIDROCEANOGRÁFICO FLUVIAL CARAVELAS|AVHOFLUCARAVELAS|AVHOCV|MS|SEXTO DN|1243.0|1
"1141"|"742001"|BATALHÃO DE DEFESA NUCLEAR, BIOLÓGICA, QUÍMICA E RADIOLÓGICA DE ARAMAR|BTLDEFNBQR-ARAMAR|BTNBQR|SP|OITAVO DN|752.0|1
"1143"|"701050"|ADIDO DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICO NA NIGÉRIA E EM GANA|ADIDEFNAVEXAERNIGGANA|ADFNIG||EXTERIOR|836.0|1
"1159"|"701007"|ADIDÂNCIA DE DEFESA E NAVAL NA INGLATERRA E NORUEGA|ADIDEFNAVINGNOR|ADNIGN||EXTERIOR|836.0|1
"1160"|"701061"|ADIDÂNCIA DE DEFESA, NAVAL, EXÉRCITO E AERONÁUTICA NA SUÉCIA|ADIDEFNAVEXAERSUECIA|ADNSUE||EXTERIOR|836.0|1
"1168"|"720300"|DIRETORIA-GERAL DE DESENVOLVIMENTO NUCLEAR E TECNOLÓGICO DA MARINHA-RIO|DGDNTM-RIO|DRGNUC|RJ|PRIMEIRO DN|298.0|1
"1172"|"742020"|DIRETORIA DE DESENVOLVIMENTO NUCLEAR DA MARINHA|DDNM|DDNUCM|SP|OITAVO DN|752.0|1
"1171"|"742030"|CENTRO INDUSTRIAL NUCLEAR DE ARAMAR|CINA|ARAMAR|SP|OITAVO DN|752.0|1
"1174"|"784510"|CENTRO DE HIDROGRAFIA E NAVEGAÇÃO DO NORTE|CHN-4|CHNNOR|PA|QUARTO DN|720.0|1
"1183"|"702100"|CENTRO DE APOIO A SISTEMAS LOGÍSTICOS DE DEFESA |CASLODE|CASLOD|RJ|PRIMEIRO DN|313.0|1
"1205"|"784126"|NAVIO DE APOIO OCEÂNICO IGUATEMI|NAPOCIGUATEMI|NAOEMI|PA|QUARTO DN|1022.0|1
"1166"|"791671"|EMBARCAÇÃO DE DESEMBARQUE DE CARGA GERAL MARAMBAIA|EDCGMARAMBAIA|EDCGMR|RJ|PRIMEIRO DN|198.0|1
"1175"|"764200"|SERVIÇO DE VETERANOS E PENSIONISTAS DA MARINHA|SVPM|SVCVPM|RJ|PRIMEIRO DN|1319.0|1
"1187"|"751500"|CENTRO DE AUXÍLIOS À NAVEGAÇÃO ALMIRANTE MORAES REGO|CAMR|CSNAMR|RJ|PRIMEIRO DN|505.0|1
"1194"|"720312"|GRUPO DE RECEBIMENTO DO SUBMARINO TONELERO|GRSTONELERO|GRSTNL|RJ|PRIMEIRO DN|1168.0|1
"1113"|"711500"|CENTRO DE CONTROLE INTERNO DA MARINHA|CCIMAR|CCINTM|RJ|PRIMEIRO DN|299.0|1
"1145"|"701044"|ADIDO DE DEFESA, NAVAL E DO EXÉRCITO EM ISRAEL|ADIDEFNAVEXISRAEL|ADFAEL||EXTERIOR|836.0|1
"1149"|"788511"|NAVIO HIDROCEANOGRÁFICO FLUVIAL RIO BRANCO|NHOFLURIOBRANCO|NHFRBR|AM|NONO DN|1242.0|1
"1152"|"785350"|CAPITANIA FLUVIAL DE PORTO ALEGRE|CFPA|CFALEG|RS|QUINTO DN|760.0|1
"1161"|"791012"|UNIDADE MÉDICA DA ESQUADRA|UMESQ|UNMESQ|RJ|PRIMEIRO DN|593.0|1
"1173"|"720307"|CENTRO TECNOLÓGICO DA MARINHA NO RIO DE JANEIRO - ARRAIAL|CTMRJ-ARRAIAL|CTEMRJ|RJ|PRIMEIRO DN|1169.0|1
"1202"|"791516"|NÚCLEO DE ATIVAÇÃO DA MISSÃO DE ASSESSORIA NAVAL|MAN-NAMÍBIA|MANNAM|RJ|PRIMEIRO DN|626.0|1
"1105"|"781152"|NAVIO-PATRULHA OCEÂNICO AMAZONAS|NPAOCAMAZONAS|NPOCAM|RJ|PRIMEIRO DN|1020.0|1
"1116"|"788311"|AGENCIA FLUVIAL DE CRUZEIRO DO SUL|AGCSUL|AGFCRS|AC|NONO DN|1233.0|1
"1121"|"783103"|NAVIO PATRULHA OCEÂNICO ARAGUARI|NPAOCARAGUARI|NPOCAR|RN|TERCEIRO DN|1021.0|1
"1130"|"740006"|DIRETORIA DE GESTÃO DE PROGRAMAS DA MARINHA-BSB|DGEPM-BSB|DGEPEM|DF|SÉTIMO DN|506.0|1
"1169"|"720305"|CENTRO TECNOLÓGICO DA MARINHA NO RIO DE JANEIRO|CTMRJ|CTEMRJ|RJ|PRIMEIRO DN|1168.0|1
"1170"|"740030"|DIRETORIA INDUSTRIAL DA MARINHA|DIM|INDUST|RJ|PRIMEIRO DN|506.0|1
"1177"|"781361"|DELEGACIA DA CAPITANIA DOS PORTOS EM CABO FRIO|DELCFRIO|DLCABO|RJ|PRIMEIRO DN|1229.0|1
"1204"|"785120"|NAVIO DE APOIO OCEÂNICO MEARIM|NAPOCMEARIM|NAORIM|RS|QUINTO DN|1019.0|1
"1206"|"781123"|NAVIO DE APOIO OCEÂNICO PURUS|NAPOCPURUS|NAORUS|RJ|PRIMEIRO DN|1020.0|1
"1210"|"789101"|COMANDO DO GRUPAMENTO DE PATRULHA NAVAL SUL-SUDESTE|COMGPTPATNAVSSE|GPNSSE|SP|OITAVO DN|210.0|1
"1211"|"751206"|AVISO DE PESQUISA HIDROCEANOGRÁFICO ASPIRANTE MOURA|AVPQHOASPMOURA|AVPHAM|RJ|PRIMEIRO DN|269.0|1
"1214"|"765721"|ESCOLA DE SAÚDE DA MARINHA|ESM|ESCSAU|RJ|PRIMEIRO DN|53.0|1
"1215"|"781312"|CAPITANIA FLUVIAL DE MINAS GERAIS|CFMG|CFBELZ|MG|PRIMEIRO DN|570.0|1
"1221"|"788010"|"1ºESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL DO NOROESTE"|ESQDHU-91|HEPNRE|AM|NONO DN|1011.0|1
"1222"|"786010"|"1ºESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL DO OESTE"|ESQDHU-61|HEPOET|MS|SEXTO DN|790.0|1
"1223"|"785900"|"1ºESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL DO SUL"|ESQDHU-51|HEPSUL|RS|QUINTO DN|760.0|1
"1224"|"771201"|CENTRO DE DISTRIBUIÇÃO DE UNIFORMES DO 1º DN|CDU-1ºDN|CDUPRI|RJ|PRIMEIRO DN|569.0|1
"1230"|"751110"|CENTRO DE INSTRUÇÃO E ADESTRAMENTO ALMIRANTE RADLER DE AQUINO|CIAARA|CIAARA|RJ|PRIMEIRO DN|505.0|1
"1233"|"788340"|CAPITANIA FLUVIAL DE PORTO VELHO|CFPV|CFPVEL|RO|NONO DN|1011.0|1
"1236"|"785511"|"NAVIO HIDROGRÁFICO BALIZADOR ""COMANDANTE VARELLA"""|NHIBCOMTEVARELLA|NBVELA|RS|QUINTO DN|774.0|1
"1237"|"784514"|"NAVIO HIDROGRÁFICO BALIZADOR ""TENENTE CASTELO"""|NHIBTENCASTELO|NBTELO|PA|QUARTO DN|1174.0|1
"1240"|"791170"|GRUPO AÉREO NAVAL DE MANUTENÇÃO|GAERNAVMAN|GANMNT|RJ|PRIMEIRO DN|558.0|1
"1242"|"788510"|CENTRO DE HIDROGRAFIA E NAVEGAÇÃO DO NOROESTE|CHN-9|CHNNRE|AM|NONO DN|1011.0|1
"1243"|"786510"|CENTRO DE HIDROGRAFIA E NAVEGAÇÃO DO OESTE|CHN-6|CHNOET|MS|SEXTO DN|790.0|1
"1244"|"780021"|CENTRO DE GUERRA ACÚSTICA E ELETRÔNICA DA MARINHA|CGAEM|CEGAEM|RJ|PRIMEIRO DN|1226.0|1
"1249"|"786200"|"3º BATALHÃO DE OPERAÇÕES RIBEIRINHAS"|"3ºBTLOPRIB"|TERRIB|MS|SEXTO DN|790.0|1
"1252"|"701062"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICA NA AUSTRÁLIA E NO TIMOR LESTE|ADIDEFNAVEXAEAUSTIMORLESTE|ADFAUS||EXTERIOR|836.0|1
"1253"|"781314"|DELEGACIA FLUVIA DE FURNAS|DELFURNAS|DLFURN|MG|PRIMEIRO DN|1215.0|1
"1254"|"789510"|SERVIÇO DE SINALIZAÇÃO NÁUTICA DO SUL-SUDESTE|SSN-8|SINSSE|PR|OITAVO DN|210.0|1
"1258"|"787900"|CENTRO DE INSTRUÇÃO E ADESTRAMENTO DE BRASÍLIA ALMIRANTE DOMINGOS DE MATTOS CORTEZ|CIAB|CIABDF|DF|SÉTIMO DN|830.0|1
"1259"|"701046"|ADIDÂNCIA DE DEFESA, NAVAL, DO EXÉRCITO E AERONÁUTICA NO JAPÃO|ADIDEFNAVEXAERJAP|ADFJAP||EXTERIOR|836.0|1
"1266"|"740014"|CENTRO LOGÍSTICO DO MATERIAL DA MARINHA|CLOGMAT|LOGMAT|RJ|PRIMEIRO DN|509.0|1
"1267"|"791540"|BASE DE SUBMARINOS DA ILHA DA MADEIRA|BSIM|BASNUC|RJ|PRIMEIRO DN|34.0|1
"1268"|"714100"|ESCOLA DE INTELIGÊNCIA DA MARINHA|ESIMAR|ESCOIN|RJ|PRIMEIRO DN|841.0|1
"1269"|"791591"|CENTRO DE INSTRUÇÃO E ADESTRAMENTO ALMIRANTE ÀTTILA MONTEIRO ACHÉ - ITAGUAÍ|CIAMA-ITAGUAI|CIASUB|RJ|PRIMEIRO DN|34.0|1
"1270"|"710201"|EMPRESA GERENCIAL DE PROJETOS NAVAIS EM ITAJAÍ|EMGEPRON-ITAJAÍ|EGPRON|SC|QUINTO DN|299.0|1
"1273"|"701005"|ADIDÂNCIA NAVAL NOS ESTADOS UNIDOS DA AMERICA|ADINAVEUA|ADNEUA||EXTERIOR|836.0|1
"1212"|"771202"|CENTRO DE DISTRIBUIÇÃO DE UNIFORMES DA BAMRJ|CDU-BAMRJ|CDUBAM|RJ|PRIMEIRO DN|569.0|1
"1219"|"784315"|AGÊNCIA DA CAPITANIA DOS PORTOS NO OIAPOQUE - AP |AGOIAPOQUE|AGOQUE|AP|QUARTO DN|1047.0|1
